sentence,linear_amr,graph_amr,is_valid
"tôi nhớ lời anh chủ tịch xã Bùi Văn Luyến nhắc đi nhắc lại : "" coi bộ nhỏ nhưng quan trọng lắm !",(n /nhớ:agent(t /tôi):theme(l /lời:topic(n2 /ncảnh_đi_ncảnh_lại:topic(q /quan_trọng:domain(n3 /nhỏ:modality(c1 /coi_bộ)):degree(l2 /lắm)):agent(chủ_tịch))_:agent(p /person:name(n4 /name:op1(x /xã):op2(wz5 /Bùi):op3(wz6 /Văn):op4(wz7 /Luyến))))))),(n / nhớ:agent(t / tôi):theme(l / lời:topic(n2 / ncảnh_đi_ncảnh_lại:topic(q / quan_trọng:domain(n3 / nhỏ:modality(c1 / coi_bộ)):degree(l2 / lắm)):agent(c / chủ_tịch))_:agent(p / person:name(n4 / name:op1(x / xã):op2(wz5 / Bùi):op3(wz6 / Văn):op4(wz7 / Luyến))))))),False
"hiện nay xã có 68 tổ nhân dân , mỗi tổ phụ trách 40 gia đình .",(c /có:time(h /hiện_nay):theme(t /tổ_nhân_dân:quant(68):theme(p /phụ_trách:agent(t1 /tổ:mod(n1 /nhà)):theme(g /gia_đình:quant(40))),(c / có:time(h / hiện_nay):theme(t / tổ_nhân_dân:quant(x / 68):theme(p / phụ_trách:agent(t1 / tổ:mod(n1 / nhà)):theme(g / gia_đình:quant(x2 / 40))),False
"chủ trương tốt nhưng dân không hiểu , không hưởng ứng thì cũng chịu thua !",(c /contrast-01:ARG2(c2 /chịu_thua):condition(h /hiểu:pivot(d /dân):polarity -:theme(c1 /chủ_trương:mod(t /tốt))):ARG1(hx /hưởng_ứng:polarity -:agent(dân):theme(chủ_trương))),"    (c / contrast-01
    :ARG2
    (c2 / chịu_thua
    )
    :condition
        (h / hiểu
        :pivot
        (d / dân
        )
        :polarity -
        :theme
            (c1 / chủ_trương
            :mod
            (t / tốt
            )
        )
    )
    :ARG1
        (hx / hưởng_ứng
        :polarity -
        :agent
        (d / dân
        )
        :theme
        (c / chủ_trương
        )
    )
)",True
nên trước nhất người đảng viên phải làm gương .,(o /obligate-01:time(t /trước_nhất):topic(l /làm_guốc:agent(n1 /người:mod(d /đảng_viên)):ord(o2 /ordinal-entity:value(1))),(o / obligate-01:time(t / trước_nhất):topic(l / làm_guốc:agent(n1 / người:mod(d / đảng_viên)):ord(o2 / ordinal-entity:value(x / 1))),False
"riêng về xuất khẩu lao động , anh Luyến có cách nghĩ riêng : "" du học sinh đi nước ngoài để mở mang kiến thức .",(c /cách_nghĩ:topic(x /xuất_khẩu_lao_động):pivot(a /anh_Luyến):manner(r1 /rồi):topic(m1 /mở_mang:agent(d /du_học_sinh:agent-of(đ /đi:location(n /nước_ngoài))):theme(k /kiến_thức))),"    (c / cách_nghĩ
    :topic
    (x / xuất_khẩu_lao_động
    )
    :pivot
    (a / anh_Luyến
    )
    :manner
    (r1 / rồi
    )
    :topic
        (m1 / mở_mang
        :agent
            (d / du_học_sinh
            :agent-of
                (đ / đi
                :location
                (n / nước_ngoài
                )
            )
        )
        :theme
        (k / kiến_thức
        )
    )
)",True
người lao động cũng vậy .,(s /sự:domain(n1 /người:mod(l /lao_động)):modality(c /cũng)),"    (s / sự
    :domain
        (n1 / người
        :mod
        (l / lao_động
        )
    )
    :modality
    (c / cũng
    )
)",True
"sau ba năm làm việc ở nước ngoài , bên cạnh việc tạo vốn giúp gia đình thoát nghèo , họ còn tiếp cận một môi trường làm việc công nghiệp .",(t1 /tiếp_cận:time(s /sau:op1(l /làm_việc:duration(3):location(n1 /nước_ngoài)):pivot(h /họ):theme(m1 /môi_trường:mod(l2 /làm_việc:compound(c1 /công_nghiệp)):quant(1)),(t1 / tiếp_cận:time(s / sau:op1(l / làm_việc:duration(x / 3):location(n1 / nước_ngoài)):pivot(h / họ):theme(m1 / môi_trường:mod(l2 / làm_việc:compound(c1 / công_nghiệp)):quant(x2 / 1)),False
đến nay xã có 672 người đi làm việc ở nước ngoài .,(c /có:time(n /nay):theme(l /làm_việc:agent(n1 /người:modality(đ1 /đi):quant(672):location(n3 /nước_ngoài)):pivot(x /xã)),(c / có:time(n / nay):theme(l / làm_việc:agent(n1 / người:modality(đ1 / đi):quant(x / 672):location(n3 / nước_ngoài)):pivot(x / xã)),False
"khi trở về , hầu hết tiếp tục làm việc tốt .",(t1 /tiếp_tục:time(t /trở_về):agent(h /hầu_hết):manner(l /làm_việc:degree(t2 /tốt))),"    (t1 / tiếp_tục
    :time
    (t / trở_về
    )
    :agent
    (h / hầu_hết
    )
    :manner
        (l / làm_việc
        :degree
        (t2 / tốt
        )
    )
)",True
"nhiều người từ nghèo khó nhất xã đã có vốn mở cơ sở , lập trang trại , tạo công ăn việc làm cho nhiều lao động .",(c /có:domain(n1 /người:mod(m /một):source(n2 /ngoài)):tense(đ /đã):theme(v /vốn:purpose(a /and:op1(m1 /mở:agent(l /lao_động:quant(n3 /nhiều)):compound(c1 /cơ_sở)):op2(l1 /lập:theme(t2 /trang_trại)):op3(t3 /tạo:theme(c2 /công_ăn_việc_làm)))),(c / có:domain(n1 / người:mod(m / một):source(n2 / ngoài)):tense(đ / đã):theme(v / vốn:purpose(a / and:op1(m1 / mở:agent(l / lao_động:quant(n3 / nhiều)):compound(c1 / cơ_sở)):op2(l1 / lập:theme(t2 / trang_trại)):op3(t3 / tạo:theme(c2 / công_ăn_việc_làm)))),False
"mất hai cánh tay , một mắt .",(m /mất:theme(c1 /cánh_tay:quant(2):theme(m1 /mắt:quant(1)),(m / mất:theme(c1 / cánh_tay:quant(x / 2):theme(m1 / mắt:quant(x2 / 1)),False
"một tập thể vững mạnh còn nhờ "" đầu tàu "" .",(n /nhờ:theme(t1 /tập_thể:mod(v /vững_mạnh):quant(1):pivot(đ /đầu_tàu)),(n / nhờ:theme(t1 / tập_thể:mod(v / vững_mạnh):quant(x / 1):pivot(đ / đầu_tàu)),False
hai lão nông - một cánh tay còn nguyên vẹn - đã dựng lên hai gia đình gương mẫu .,(a /and:op1(l1 /lão_nông:quant(2):op2(d /dựng:agent(c /cánh_tay:part-of(l2 /lão_nông):quant(1):tense(đ /đã):compound(l3 /lên):result-arg1(g /gia_đình:mod(g1 /gương_mẫu):quant(2))),(a / and:op1(l1 / lão_nông:quant(x / 2):op2(d / dựng:agent(c / cánh_tay:part-of(l2 / lão_nông):quant(x2 / 1):tense(đ / đã):compound(l3 / lên):result-arg1(g / gia_đình:mod(g1 / gương_mẫu):quant(x / 2))),False
"có em trở về còn quyết tâm dùng tiền dành dụm tiếp tục học văn hóa , vào đại học "" .",(t /trở_về:agent(e /em):concession(q /quyết_tâm:topic(d /dùng_tiền:mod(n /nhiều)):purpose(h /học:degree(c2 /tiếp_tục):location(đ /đại_học:prep(v1 /vào)):theme(văn_hóa)):agent(em))_:pivot(em))),(t / trở_về:agent(e / em):concession(q / quyết_tâm:topic(d / dùng_tiền:mod(n / nhiều)):purpose(h / học:degree(c2 / tiếp_tục):location(đ / đại_học:prep(v1 / vào)):theme(v / văn_hóa)):agent(e / em))_:pivot(e / em))),False
"có em trở về còn quyết tâm dùng tiền dành dụm tiếp tục học văn hóa , vào đại học "" .",(t /trở_về:agent(e /em):concession(q /quyết_tâm:topic(d /dùng_tiền:mod(n /nhiều)):purpose(h /học:degree(c2 /tiếp_tục):location(đ /đại_học:prep(v1 /vào)):theme(văn_hóa)):agent(em))_:pivot(em))),(t / trở_về:agent(e / em):concession(q / quyết_tâm:topic(d / dùng_tiền:mod(n / nhiều)):purpose(h / học:degree(c2 / tiếp_tục):location(đ / đại_học:prep(v1 / vào)):theme(v / văn_hóa)):agent(e / em))_:pivot(e / em))),False
dự kiến từ nay đến năm 2007 sẽ hoàn thành phổ cập thpt .,(h /hoàn_thành:time(n1 /năm:mod(2007):tense(s /sẽ):theme(p /phổ_cập:theme(t1 /thpt)):time(b /before:op1(wz3 /now))),(h / hoàn_thành:time(n1 / năm:mod(x / 2007):tense(s / sẽ):theme(p / phổ_cập:theme(t1 / thpt)):time(b / before:op1(wz3 / now))),False
"con của "" thép "" .",(t /thép:classifier(c1 /con)),"    (t / thép
    :classifier
    (c1 / con
    )
)",True
tôi nghe câu chuyện anh Thanh cho anh Đu mượn chú heo con .,(n /nghe:agent(t /tôi):theme(c1 /câu_chuyện:topic(m /mượn:agent(a2 /anh_Đu):theme(h1 /heo_con:classifier(c2 /chú)):initiated_by(anh_thanh))_:agent(anh_thanh))),"    (n / nghe
    :agent
    (t / tôi
    )
    :theme
        (c1 / câu_chuyện
        :topic
            (m / mượn
            :agent
            (a2 / anh_Đu
            )
            :theme
                (h1 / heo_con
                :classifier
                (c2 / chú
                )
            )
            :initiated_by
            (a / anh_thanh
            )
        )
        _
        :agent
        (a / anh_thanh
        )
    )
)",True
"ai trồng lúa , xã mời các cán bộ về tập huấn cho trồng lúa .",(m /mời:agent(x /xã):topic(t1 /tập_huấn:beneficiary(cán_bộ):time(v /về:beneficiary-of(t2 /trồng_lúa:agent(a)))),(m / mời:agent(x / xã):topic(t1 / tập_huấn:beneficiary(c / cán_bộ):time(v / về:beneficiary-of(t2 / trồng_lúa:agent(a / a)))),False
"ai nuôi cá , nuôi bò thì được tập huấn về chăn nuôi .",(t1 /tập_huấn:condition(n /nuôi:agent(a /ai):theme(c /cá)):modality(đ /được):topic(c2 /chăn_nuôi:theme(b /bò))),"    (t1 / tập_huấn
    :condition
        (n / nuôi
        :agent
        (a / ai
        )
        :theme
        (c / cá
        )
    )
    :modality
    (đ / được
    )
    :topic
        (c2 / chăn_nuôi
        :theme
        (b / bò
        )
    )
)",True
ai muốn giữ nghề truyền thống được tạo điều kiện vay vốn .,(m /muốn:pivot(a /ai):theme(g /giữ:theme(n /nghề:mod(t /truyền_thống)):agent(đ /được:theme(t1 /tạo_điều_kiện:purpose(v /vay_vốn:agent(ai)))))),"    (m / muốn
    :pivot
    (a / ai
    )
    :theme
        (g / giữ
        :theme
            (n / nghề
            :mod
            (t / truyền_thống
            )
        )
        :agent
            (đ / được
            :theme
                (t1 / tạo_điều_kiện
                :purpose
                    (v / vay_vốn
                    :agent
                    (a / ai
                    )
                )
            )
        )
    )
)",True
nhưng không !,(c /contrast-01:ARG2(k /không)),"    (c / contrast-01
    :ARG2
    (k / không
    )
)",True
"gặp những đứa con của quê hương này , tôi bị bất ngờ bởi sức sống mãnh liệt .",(b1 /bất_ngoại:condition(g /gặp:goal(c /con:classifier(đ /đứa):poss(q /quê_hương:mod(n2 /này))):agent(tôi)):domain(t /tôi):degree(b /bị):reason(s /sức_sống:mod(m1 /mãnh_liệt))),"    (b1 / bất_ngoại
    :condition
        (g / gặp
        :goal
            (c / con
            :classifier
            (đ / đứa
            )
            :poss
                (q / quê_hương
                :mod
                (n2 / này
                )
            )
        )
        :agent
        (t / tôi
        )
    )
    :domain
    (t / tôi
    )
    :degree
    (b / bị
    )
    :reason
        (s / sức_sống
        :mod
        (m1 / mãnh_liệt
        )
    )
)",True
mình còn sống .,(s /sống:pivot(m /mình)),"    (s / sống
    :pivot
    (m / mình
    )
)",True
hên thiệt !,(h /hên:mode(expressive):modality(t /thiệt)),"    (h / hên
    :mode
    (e / expressive
    )
    :modality
    (t / thiệt
    )
)",True
"à , mà chuyện đó cũ hết rồi ... "" .",(m /multi-sentence:snt1(à /à:mode(expressive):snt2(c /chuyện:mod(đ /đó):mod(c1 /cũ)):manner(h /hết:compound(r /rồi))),(m / multi-sentence:snt1(à / à:mode(e / expressive):snt2(c / chuyện:mod(đ / đó):mod(c1 / cũ)):manner(h / hết:compound(r / rồi))),False
sau chiến tranh đi tháo gỡ bom mìn .,(t /tháo_gỡ:time(s /sau:mod(c /chiến_tranh)):agent(b /bom_mìn)),"    (t / tháo_gỡ
    :time
        (s / sau
        :mod
        (c / chiến_tranh
        )
    )
    :agent
    (b / bom_mìn
    )
)",True
tháo gỡ đến trái 223 thì bị nổ .,(n /nổ:condition(t /tháo_gỡ:quant(đ /đến):location(t1 /trái:quant(223)):modality(b /bị)),(n / nổ:condition(t / tháo_gỡ:quant(đ / đến):location(t1 / trái:quant(x / 223)):modality(b / bị)),False
có người đã là cô giáo dạy thcs .,(c /có:theme(n /người:pivot-of(d /dạy_thcs:agent(cô):tense(đ /đã)))),"    (c / có
    :theme
        (n / người
        :pivot-of
            (d / dạy_thcs
            :agent
            (c / cô
            )
            :tense
            (đ / đã
            )
        )
    )
)",True
gần đó cũng vừa mọc lên một nhà văn hóa trị giá khoảng 5 tỉ đồng .,(m1 /mọc:location(g /gần:mod(đ /đó)):time(v /vừa):compound(l /lên):result-arg1(n /nhà_văn_hoá:agent-of(t /trị_giá:quant(k /khoảng:op2(5000000000))))),"    (m1 / mọc
    :location
        (g / gần
        :mod
        (đ / đó
        )
    )
    :time
    (v / vừa
    )
    :compound
    (l / lên
    )
    :result-arg1
        (n / nhà_văn_hoá
        :agent-of
            (t / trị_giá
            :quant
                (k / khoảng
                :op2
                (x / 5000000000
                )
            )
        )
    )
)",True
ngôi nhà của Ama Công .,(n1 /nhà:classifier(n /ngôi):poss(p /person:name(n2 /name:op1(A /Ama):op2(C /Công)))),"    (n1 / nhà
    :classifier
    (n / ngôi
    )
    :poss
        (p / person
        :name
            (n2 / name
            :op1
            (A / Ama
            )
            :op2
            (C / Công
            )
        )
    )
)",True
đó là ngôi nhà của một gia đình người Kinh dưới chân núi chư pah ( Gia Lai ) .,(n1 /nhà:domain(đ /đó):classifier(n /ngôi):poss(g /gia_đình:mod(n2 /người_Kinh)):location(c2 /chân_núi:prep(d /dưới):name(n3 /name:op1(ch1 /chư_pah):op2(wz4 /province:name(wz5 /name:op1(G /Gia):op2(L1 /Lai)))))),"    (n1 / nhà
    :domain
    (đ / đó
    )
    :classifier
    (n / ngôi
    )
    :poss
        (g / gia_đình
        :mod
        (n2 / người_Kinh
        )
    )
    :location
        (c2 / chân_núi
        :prep
        (d / dưới
        )
        :name
            (n3 / name
            :op1
            (ch1 / chư_pah
            )
            :op2
                (wz4 / province
                :name
                    (wz5 / name
                    :op1
                    (G / Gia
                    )
                    :op2
                    (L1 / Lai
                    )
                )
            )
        )
    )
)",True
"cứ nhà nào có người ốm đau , bệnh hoạn anh đều có mặt .",(c2 /có_mặt:condition(n1 /nhà:mod(n2 /nào):pivot-of(c3 /chỗ:location-of(ố /ốm_đau:pivot(n4 /người)):quant(1)):agent(a /anh:domain(b /bệnh_hoạn:patient(n5 /người)))),(c2 / có_mặt:condition(n1 / nhà:mod(n2 / nào):pivot-of(c3 / chỗ:location-of(ố / ốm_đau:pivot(n4 / người)):quant(x / 1)):agent(a / anh:domain(b / bệnh_hoạn:patient(n5 / người)))),False
""" hồi ấy đây là vùng giao tranh ác liệt - ông kể - ngày nào cũng có người chết vì bom đạn .",(k /kể:agent(ô /ông):topic(a1 /and:op1(v /vùng:domain(đ /đây):mod(g /giao_tranh:degree(á1 /ác_liệt)):time(b /before)):op2(c3 /có:theme(n1 /người:agent-of(c4 /chết:pivot-of(n2 /nó)):cause(b1 /bom_đạn)):frequency(r /rate-entity-91:unit(t1 /day)))):time(d /date-entity:year(h /hồi:mod(ấ /ấy))))),(k / kể:agent(ô / ông):topic(a1 / and:op1(v / vùng:domain(đ / đây):mod(g / giao_tranh:degree(á1 / ác_liệt)):time(b / before)):op2(c3 / có:theme(n1 / người:agent-of(c4 / chết:pivot-of(n2 / nó)):cause(b1 / bom_đạn)):frequency(r / rate-entity-91:unit(t1 / day)))):time(d / date-entity:year(h / hồi:mod(ấ / ấy))))),False
nay thì mô hình đã thành công .,(t1 /thành_công:time(n / Nay):theme(m /mô_hình)),"    (t1 / thành_công
    :time
    (n / Nay
    )
    :theme
    (m / mô_hình
    )
)",True
tất cả chỉ với hai cùi tay cụt .,(c /chỉ:domain(t /tất_cả):means(t2 /trông:degree(c1 /cụt):part-of(tôi):quant(2)),(c / chỉ:domain(t / tất_cả):means(t2 / trông:degree(c1 / cụt):part-of(t / tôi):quant(x / 2)),False
sẽ tổ chức phố đi bộ tại Hội An .,(t /tổ_chức:theme(p /phố_đi_bộ):location(H /Hội_An):tense(s /sẽ)),"    (t / tổ_chức
    :theme
    (p / phố_đi_bộ
    )
    :location
    (H / Hội_An
    )
    :tense
    (s / sẽ
    )
)",True
"công ty đồng ý , cụ mãn nguyện , yên tâm sống ở đây suốt quãng đời còn lại .",(đ /đồng_ý:agent(c /công_ty):manner(n /nghiêm_mục):result(l1 /lên_tinh_thân:topic(s /sống:pivot(t /ta):location(đ1 /đây:prep(ở /ở)):duration(q /quãng_đời:mod(c2 /còn_lại)))),(đ / đồng_ý:agent(c / công_ty):manner(n / nghiêm_mục):result(l1 / lên_tinh_thân:topic(s / sống:pivot(t / ta):location(đ1 / đây:prep(ở / ở)):duration(q / quãng_đời:mod(c2 / còn_lại)))),False
một điểm chung là người thương binh ít chạm vào quá khứ .,(c /chung:domain(đ /điểm):modality(m /một):topic(t1 /thương_binh:pivot(n /người)):theme(c2 /chạm:degree(í /ít):compound(v /vào):theme(q /quá_khứ):agent(thương_binh))),"    (c / chung
    :domain
    (đ / điểm
    )
    :modality
    (m / một
    )
    :topic
        (t1 / thương_binh
        :pivot
        (n / người
        )
    )
    :theme
        (c2 / chạm
        :degree
        (í / ít
        )
        :compound
        (v / vào
        )
        :theme
        (q / quá_khứ
        )
        :agent
        (t / thương_binh
        )
    )
)",True
"giờ nó đi làm có chút vốn , lấy đó mà học tiếp "" .",(a /and:op1(đ /đi:agent(n /nó):compound(l /làm)):op2(l1 /lấy:theme(v /vốn:quant(m /một_chút)):purpose(h /học:compound(t /tiếp):pivot(nó))_:agent(nó))),"    (a / and
    :op1
        (đ / đi
        :agent
        (n / nó
        )
        :compound
        (l / làm
        )
    )
    :op2
        (l1 / lấy
        :theme
            (v / vốn
            :quant
            (m / một_chút
            )
        )
        :purpose
            (h / học
            :compound
            (t / tiếp
            )
            :pivot
            (n / nó
            )
        )
        _
        :agent
        (n / nó
        )
    )
)",True
"đấy là phòng giá cao nhất : 3, 5 triệu / tháng .",(p /phòng:domain(đ /đấy):mod(g /giá:degree(c /cao:degree(n /nhất)):quant(wz1 /product-of:op2(t1 /triệu:quant(3.5):op1(t /tháng))))),"    (p / phòng
    :domain
    (đ / đấy
    )
    :mod
        (g / giá
        :degree
            (c / cao
            :degree
            (n / nhất
            )
        )
        :quant
            (wz1 / product-of
            :op2
                (t1 / triệu
                :quant
                (x / 3.5
                )
                :op1
                (t / tháng
                )
            )
        )
    )
)",True
"mẹ anh là cụ g . , có năm con .",(c /cụ:domain(m /mẹ:domain-of(a /anh)):mod(g /g):agent-of(c1 /có:theme(c2 /con:quant(5))),(c / cụ:domain(m / mẹ:domain-of(a / anh)):mod(g / g):agent-of(c1 / có:theme(c2 / con:quant(x / 5))),False
"bán thuốc giá cao , công ty Sanofi phải giải trình .",(o /obligate-01:topic(g1 /giải_trình:reason(b /bán:theme(t /thuốc):manner(c /cao)):agent(c1 /công_ti:name(n2 /name:op1(S /Sanofi)))),(o / obligate-01:topic(g1 / giải_trình:reason(b / bán:theme(t / thuốc):manner(c / cao)):agent(c1 / công_ti:name(n2 / name:op1(S / Sanofi)))),False
"không phải phép thần kỳ biến quê hương từ chỗ cay cực nhất vinh dự nhận danh hiệu tập thể "" anh hùng lao động thời kỳ đổi mới "" sau 15 năm đổi mới .","(p /phép:domain(t /thần_kỳ):theme-of(b /biến:source(q /quê_hương)):location(c2 /chỗ:mod(c3 /cay_cực_nhất)):theme-of(n /nhận:degree(v /vinh_dự):theme(d /danh_hiệu:mod(t4 /tập_thể:mod(""anh_hùng_lao_động:time(s /sau:op1(đ /đổi_mới:duration(t5 /temporal-quantity:unit(n1 /năm):quant(15)))))):agent(quê_hương))_:pivot(quê_hương)):mode(-)","(p / phép:domain(t / thần_kỳ):theme-of(b / biến:source(q / quê_hương)):location(c2 / chỗ:mod(c3 / cay_cực_nhất)):theme-of(n / nhận:degree(v / vinh_dự):theme(d / danh_hiệu:mod(t4 / tập_thể:mod(""anh_hùng_lao_động:time(s / sau:op1(đ / đổi_mới:duration(t5 / temporal-quantity:unit(n1 / năm):quant(x / 15)))))):agent(q / quê_hương))_:pivot(q / quê_hương)):mode(-)",False
ăn xong chị lại quày quả ra đi với chiếc xe đạp cọc cạch và hai cái bao nhỏ .,(q /quày_quả:agent(c /chị):compound(r /ra):compound(đ /đi):accompanier(w1 /and:op2(b1 /bao:quant 2:classifier(c2 /cái)):mod(n3 /nhỏ)):op1(x1 /xe_đạp:mod(c3 /cọc_cạch):classifier(c4 /chiếc)))),(q / quày_quả:agent(c / chị):compound(r / ra):compound(đ / đi):accompanier(w1 / and:op2(b1 / bao:quant 2:classifier(c2 / cái)):mod(n3 / nhỏ)):op1(x1 / xe_đạp:mod(c3 / cọc_cạch):classifier(c4 / chiếc)))),False
